Time,Open,Close,High,Low,Volume
2020-06-22 22:21:00,9605.4,9606.1569176,9606.1569176,9604.8,0.42717022
2020-06-22 22:22:00,9606.3,9605.6,9606.63939352,9604.9,0.98927762
2020-06-22 22:23:00,9606.6,9608.1,9608.21526734,9606.3,0.92248822
2020-06-22 22:24:00,9608.32781777,9606.4,9609.0,9606.4,0.8630722200000001
2020-06-22 22:25:00,9607.8,9610.2,9612.7,9607.8,35.61475706
2020-06-22 22:26:00,9606.75195594,9604.4,9606.9,9604.4,1.38816884
2020-06-22 22:27:00,9605.7,9607.4,9607.59611,9604.5,0.5796
2020-06-22 22:28:00,9607.1,9605.72529,9607.2,9604.4,1.475996
2020-06-22 22:29:00,9605.72529,9604.1,9606.6607,9603.2,0.8428399999999999
2020-06-22 22:30:00,9604.4,9604.1,9605.7,9603.8,0.65396408
2020-06-22 22:31:00,9603.8,9603.0,9605.2,9603.0,0.84377353
2020-06-22 22:32:00,9603.33273416,9603.0,9605.6,9603.0,0.97294069
2020-06-22 22:33:00,9604.1,9604.8,9604.9,9604.1,0.41152468
2020-06-22 22:34:00,9604.9,9609.8,9609.8,9604.9,0.3904
2020-06-22 22:35:00,9609.4,9608.5,9609.6,9606.9,0.95686534
2020-06-22 22:36:00,9608.0,9610.1,9610.17266774,9607.0,0.96971266
2020-06-22 22:37:00,9610.9,9609.7,9610.9,9607.7,0.6205616999999999
2020-06-22 22:38:00,9610.2,9610.4,9610.8,9610.2,0.44598781
2020-06-22 22:39:00,9610.7,9609.1,9610.8,9609.1,0.6326
2020-06-22 22:40:00,9610.6,9610.7,9610.7,9609.1,1.68460402
2020-06-22 22:41:00,9610.7,9616.7,9616.7,9610.7,5.07279122
2020-06-22 22:42:00,9616.7,9617.5,9617.5,9616.7,0.977905
2020-06-22 22:43:00,9617.5,9617.5,9617.5,9617.47227187,0.7572241
2020-06-22 22:44:00,9617.5,9617.5,9617.5,9617.5,0.7721060000000001
2020-06-22 22:45:00,9617.5,9623.9,9624.0,9617.47227187,3.59902386
2020-06-22 22:46:00,9624.0,9624.5,9624.5,9624.0,1.1979937
2020-06-22 22:47:00,9624.45434818,9626.3,9626.3,9624.45434818,1.60071338
2020-06-22 22:48:00,9626.3,9632.0,9632.0,9626.3,5.89438223
2020-06-22 22:49:00,9632.0,9639.0,9639.4,9631.9,42.9104508
2020-06-22 22:50:00,9639.0,9639.0,9639.1,9639.0,11.53380617
2020-06-22 22:51:00,9639.0,9639.0,9639.1,9639.0,4.58865429
2020-06-22 22:52:00,9639.0941856,9639.1,9639.1,9639.0941856,1.0095147
2020-06-22 22:53:00,9639.0941856,9639.8,9639.9,9639.0,2.1126
2020-06-22 22:54:00,9639.9,9663.3,9663.3,9639.88248453,90.78095717
2020-06-22 22:55:00,9663.3,9663.9,9677.5,9655.0,25.48383733
